Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
34,4.073000,262144.000000,59611.835192,33897.000000
34,4.639000,32768.000000,210651.964413,138793.000000
34,5.649000,4096.000000,127714.199203,56337.000000
34,7.918000,512.000000,101471.753070,29225.000000
34,16.772000,64.000000,82946.085345,11323.000000
34,30.000000,6.000000,134984.469555,13076.000000
34,30.000000,9.000000,80696.843222,7610.000000
34,30.000000,12.000000,95469.252940,8356.000000
34,30.000000,15.000000,83977.481214,9592.000000
34,30.000000,18.000000,124763.027288,13583.000000
