Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
24,4.073000,262144.000000,491691.744817,173691.000000
24,4.639000,32768.000000,1131667.865727,330092.000000
24,5.649000,4096.000000,1794372.365999,290716.000000
24,7.918000,512.000000,5045890.220418,313411.000000
24,16.772000,64.000000,11234719.801133,302942.000000
24,30.000000,6.000000,12732015.146086,303817.000000
24,30.000000,9.000000,12315356.839921,305080.000000
24,30.000000,12.000000,11647876.237241,305932.000000
24,30.000000,15.000000,11452191.827152,306594.000000
24,30.000000,18.000000,10920902.987097,310265.000000
