Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
40,4.073000,262144.000000,305136.007452,276267.000000
40,4.639000,32768.000000,69223.263517,57671.000000
40,5.649000,4096.000000,48841.519868,23207.000000
40,7.918000,512.000000,40202.892284,8705.000000
40,16.772000,64.000000,22696.381297,2050.000000
40,30.000000,6.000000,27745.250314,3416.000000
40,30.000000,9.000000,29026.300849,2696.000000
40,30.000000,12.000000,28153.174919,2579.000000
40,30.000000,15.000000,29208.185428,3386.000000
40,30.000000,18.000000,33107.417281,3163.000000
