Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,84767.775375,54867.000000
32,4.639000,32768.000000,95334.993324,38051.000000
32,5.649000,4096.000000,341910.858699,150538.000000
32,7.918000,512.000000,103016.989992,21468.000000
32,16.772000,64.000000,171253.239523,16102.000000
32,30.000000,6.000000,306796.792480,30912.000000
32,30.000000,9.000000,288916.177353,29913.000000
32,30.000000,12.000000,395292.372531,35807.000000
32,30.000000,15.000000,478973.359649,79935.000000
32,30.000000,18.000000,426837.831848,49475.000000
