Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
34,4.073000,262144.000000,87438.832083,57216.000000
34,4.639000,32768.000000,56131.869344,32422.000000
34,5.649000,4096.000000,137225.316338,57170.000000
34,7.918000,512.000000,123232.702892,33031.000000
34,16.772000,64.000000,115873.072290,19351.000000
34,30.000000,6.000000,109227.065519,11414.000000
34,30.000000,9.000000,133972.556365,14048.000000
34,30.000000,12.000000,89034.459806,8690.000000
34,30.000000,15.000000,105886.929817,17792.000000
34,30.000000,18.000000,87814.531258,11850.000000
