Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,256025.686272,194584.000000
32,4.639000,32768.000000,162657.940387,88880.000000
32,5.649000,4096.000000,716389.670004,303486.000000
32,7.918000,512.000000,186492.168693,53196.000000
32,16.772000,64.000000,188158.070523,22297.000000
32,30.000000,6.000000,360921.176207,31571.000000
32,30.000000,9.000000,237739.847825,21574.000000
32,30.000000,12.000000,192535.919999,20027.000000
32,30.000000,15.000000,301092.586576,43800.000000
32,30.000000,18.000000,343995.169258,38076.000000
