Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,360473.423291,349307.000000
32,4.639000,32768.000000,256133.944832,146394.000000
32,5.649000,4096.000000,368969.700652,144319.000000
32,7.918000,512.000000,546895.914420,144145.000000
32,16.772000,64.000000,322786.667946,51528.000000
32,30.000000,6.000000,385902.684908,45033.000000
32,30.000000,9.000000,547816.500308,72281.000000
32,30.000000,12.000000,332367.178031,30261.000000
32,30.000000,15.000000,235570.924662,33155.000000
32,30.000000,18.000000,320001.831917,55989.000000
