Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
28,4.073000,262144.000000,151466.887381,83628.000000
28,4.639000,32768.000000,416086.424443,230881.000000
28,5.649000,4096.000000,660440.140783,251201.000000
28,7.918000,512.000000,2917946.462830,302674.000000
28,16.772000,64.000000,7793136.624308,301371.000000
28,30.000000,6.000000,8726668.858669,303508.000000
28,30.000000,9.000000,8871365.354846,304840.000000
28,30.000000,12.000000,7577270.470795,301914.000000
28,30.000000,15.000000,7974736.165410,304266.000000
28,30.000000,18.000000,7823238.236077,297123.000000
