Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
26,4.073000,262144.000000,381982.533580,263277.000000
26,4.639000,32768.000000,700454.721073,261303.000000
26,5.649000,4096.000000,1114178.765006,287924.000000
26,7.918000,512.000000,3783344.647353,299035.000000
26,16.772000,64.000000,9939460.687845,303062.000000
26,30.000000,6.000000,11466032.495137,302856.000000
26,30.000000,9.000000,10769036.625383,304282.000000
26,30.000000,12.000000,10107785.314954,302999.000000
26,30.000000,15.000000,9972466.723167,305565.000000
26,30.000000,18.000000,10243714.912051,308955.000000
