Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
24,4.073000,262144.000000,799371.167547,260976.000000
24,4.639000,32768.000000,976215.326560,297683.000000
24,5.649000,4096.000000,1857160.269059,293310.000000
24,7.918000,512.000000,4011732.741866,299027.000000
24,16.772000,64.000000,11582226.361781,303149.000000
24,30.000000,6.000000,12662168.892316,303825.000000
24,30.000000,9.000000,12261963.232287,303726.000000
24,30.000000,12.000000,11287595.070777,301589.000000
24,30.000000,15.000000,11344664.790818,307472.000000
24,30.000000,18.000000,11136779.053909,309184.000000
