Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
26,4.073000,262144.000000,553089.581573,250942.000000
26,4.639000,32768.000000,440002.203232,194054.000000
26,5.649000,4096.000000,1263645.968635,255289.000000
26,7.918000,512.000000,4225344.092103,314437.000000
26,16.772000,64.000000,9866294.644749,303519.000000
26,30.000000,6.000000,10805831.813745,303762.000000
26,30.000000,9.000000,11315815.625637,303025.000000
26,30.000000,12.000000,9908764.522633,303560.000000
26,30.000000,15.000000,10410245.119080,307889.000000
26,30.000000,18.000000,9717629.784803,304274.000000
