Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
26,4.073000,262144.000000,136941.240373,74943.000000
26,4.639000,32768.000000,871152.578051,315163.000000
26,5.649000,4096.000000,1263435.260024,281754.000000
26,7.918000,512.000000,3195955.414558,303288.000000
26,16.772000,64.000000,9507536.533970,304224.000000
26,30.000000,6.000000,11544847.926941,303016.000000
26,30.000000,9.000000,11069593.408193,304299.000000
26,30.000000,12.000000,9806280.778542,304739.000000
26,30.000000,15.000000,10128661.094352,306900.000000
26,30.000000,18.000000,10495247.493350,311218.000000
