Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
30,4.073000,262144.000000,168151.511872,149700.000000
30,4.639000,32768.000000,305061.041198,148039.000000
30,5.649000,4096.000000,418073.503280,238660.000000
30,7.918000,512.000000,1948515.124234,287836.000000
30,16.772000,64.000000,3424790.881291,299830.000000
30,30.000000,6.000000,6051457.257071,302519.000000
30,30.000000,9.000000,1535349.567034,131769.000000
30,30.000000,12.000000,3527270.904310,269917.000000
30,30.000000,15.000000,6695410.062925,306276.000000
30,30.000000,18.000000,3444280.436911,305407.000000
