Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
30,4.073000,262144.000000,165356.140231,149571.000000
30,4.639000,32768.000000,411092.819299,227533.000000
30,5.649000,4096.000000,937005.933818,290791.000000
30,7.918000,512.000000,828527.084430,256142.000000
30,16.772000,64.000000,2762878.989118,227311.000000
30,30.000000,6.000000,3001252.198535,183943.000000
30,30.000000,9.000000,4190259.639890,236886.000000
30,30.000000,12.000000,5047817.894968,241289.000000
30,30.000000,15.000000,2582712.713840,218544.000000
30,30.000000,18.000000,6403752.732623,296059.000000
