Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,86034.871541,58012.000000
32,4.639000,32768.000000,225026.692628,105989.000000
32,5.649000,4096.000000,272644.291332,110227.000000
32,7.918000,512.000000,263807.019031,71911.000000
32,16.772000,64.000000,151995.556442,16055.000000
32,30.000000,6.000000,267277.722480,36777.000000
32,30.000000,9.000000,255440.342176,26012.000000
32,30.000000,12.000000,206110.636154,23980.000000
32,30.000000,15.000000,266521.634563,49684.000000
32,30.000000,18.000000,359859.256036,47940.000000
