Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
24,4.073000,262144.000000,1162131.351307,353569.000000
24,4.639000,32768.000000,583381.319152,206128.000000
24,5.649000,4096.000000,2349803.554777,306896.000000
24,7.918000,512.000000,4437448.583595,299912.000000
24,16.772000,64.000000,11612415.307177,300693.000000
24,30.000000,6.000000,12767342.870794,302599.000000
24,30.000000,9.000000,12252990.001435,302956.000000
24,30.000000,12.000000,11628804.565704,306021.000000
24,30.000000,15.000000,10952866.458086,302029.000000
24,30.000000,18.000000,11218454.922736,311570.000000
