Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
26,4.073000,262144.000000,855634.621535,437865.000000
26,4.639000,32768.000000,814319.858888,301751.000000
26,5.649000,4096.000000,1580952.209894,306281.000000
26,7.918000,512.000000,3354540.278715,297105.000000
26,16.772000,64.000000,9697754.892367,302318.000000
26,30.000000,6.000000,11146841.069316,303051.000000
26,30.000000,9.000000,11071110.349015,302974.000000
26,30.000000,12.000000,10169411.507114,302388.000000
26,30.000000,15.000000,9660133.697731,304041.000000
26,30.000000,18.000000,9648260.835874,309191.000000
