Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
34,4.073000,262144.000000,401552.789830,373422.000000
34,4.639000,32768.000000,382705.269145,287729.000000
34,5.649000,4096.000000,162357.482787,71079.000000
34,7.918000,512.000000,73533.336556,31775.000000
34,16.772000,64.000000,143589.637426,25815.000000
34,30.000000,6.000000,135641.453435,11428.000000
34,30.000000,9.000000,97678.533921,9322.000000
34,30.000000,12.000000,88885.250351,10949.000000
34,30.000000,15.000000,129765.918993,15330.000000
34,30.000000,18.000000,125449.648182,11888.000000
