Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
22,4.073000,262144.000000,462375.676407,175367.000000
22,4.639000,32768.000000,1306078.913371,298484.000000
22,5.649000,4096.000000,2906108.642314,312016.000000
22,7.918000,512.000000,5732640.907171,288595.000000
22,16.772000,64.000000,12818408.820636,306282.000000
22,30.000000,6.000000,13797125.982881,304510.000000
22,30.000000,9.000000,13158232.048082,304436.000000
22,30.000000,12.000000,12901350.299140,306807.000000
22,30.000000,15.000000,12228550.577091,304876.000000
22,30.000000,18.000000,12024654.254731,306995.000000
