Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
28,4.073000,262144.000000,545868.167738,263440.000000
28,4.639000,32768.000000,478661.955065,299380.000000
28,5.649000,4096.000000,1148354.420072,317268.000000
28,7.918000,512.000000,2628597.604097,302032.000000
28,16.772000,64.000000,7567521.081537,300056.000000
28,30.000000,6.000000,9798796.913280,303479.000000
28,30.000000,9.000000,8794808.551958,302985.000000
28,30.000000,12.000000,8648756.725373,304285.000000
28,30.000000,15.000000,7512151.227603,288597.000000
28,30.000000,18.000000,8240552.205103,306921.000000
