Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
28,4.073000,262144.000000,167701.913835,129771.000000
28,4.639000,32768.000000,319700.558445,129946.000000
28,5.649000,4096.000000,676975.137883,291337.000000
28,7.918000,512.000000,2770942.895022,306117.000000
28,16.772000,64.000000,7948489.765265,300977.000000
28,30.000000,6.000000,8154169.139399,278771.000000
28,30.000000,9.000000,8758726.895380,298149.000000
28,30.000000,12.000000,8077943.855152,303091.000000
28,30.000000,15.000000,7504560.622137,306116.000000
28,30.000000,18.000000,8278434.577460,308466.000000
