Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
38,4.073000,262144.000000,108139.939819,86828.000000
38,4.639000,32768.000000,75299.470257,53849.000000
38,5.649000,4096.000000,102405.121473,40406.000000
38,7.918000,512.000000,45154.751677,11144.000000
38,16.772000,64.000000,46726.595264,4523.000000
38,30.000000,6.000000,37989.757883,3595.000000
38,30.000000,9.000000,37239.538893,3947.000000
38,30.000000,12.000000,44093.647116,5120.000000
38,30.000000,15.000000,40546.098283,4544.000000
38,30.000000,18.000000,43301.468024,4783.000000
