Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
20,4.073000,262144.000000,1049440.063821,249925.000000
20,4.639000,32768.000000,2242083.628137,310553.000000
20,5.649000,4096.000000,3775708.964943,308886.000000
20,7.918000,512.000000,6772421.329864,303923.000000
20,16.772000,64.000000,13502553.935103,302309.000000
20,30.000000,6.000000,14668763.144344,304328.000000
20,30.000000,9.000000,14165072.860393,305547.000000
20,30.000000,12.000000,13412127.179482,303047.000000
20,30.000000,15.000000,13173899.706951,304596.000000
20,30.000000,18.000000,12797904.421967,307963.000000
