Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
20,4.073000,262144.000000,1306223.003669,311685.000000
20,4.639000,32768.000000,2403344.233553,318977.000000
20,5.649000,4096.000000,3250970.043666,298523.000000
20,7.918000,512.000000,6857872.177938,301286.000000
20,16.772000,64.000000,13469321.181463,302044.000000
20,30.000000,6.000000,14598037.146530,304800.000000
20,30.000000,9.000000,13961151.233589,304052.000000
20,30.000000,12.000000,13822283.285295,302856.000000
20,30.000000,15.000000,12815408.387788,301765.000000
20,30.000000,18.000000,12835119.677848,307130.000000
