Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
34,4.073000,262144.000000,139401.089526,115152.000000
34,4.639000,32768.000000,397419.336315,304419.000000
34,5.649000,4096.000000,214677.900393,75054.000000
34,7.918000,512.000000,109662.614751,29510.000000
34,16.772000,64.000000,136440.171365,23161.000000
34,30.000000,6.000000,118957.498133,13929.000000
34,30.000000,9.000000,129577.732088,18107.000000
34,30.000000,12.000000,100731.791913,13238.000000
34,30.000000,15.000000,102188.042603,14781.000000
34,30.000000,18.000000,135720.106384,23313.000000
