Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
30,4.073000,262144.000000,110345.865156,65273.000000
30,4.639000,32768.000000,702382.807506,368623.000000
30,5.649000,4096.000000,542317.045724,230176.000000
30,7.918000,512.000000,1631266.324749,300318.000000
30,16.772000,64.000000,1952651.598558,188339.000000
30,30.000000,6.000000,4902495.756887,294916.000000
30,30.000000,9.000000,2727235.036835,296209.000000
30,30.000000,12.000000,3562391.663005,252967.000000
30,30.000000,15.000000,4575578.782905,280971.000000
30,30.000000,18.000000,2425401.997320,241485.000000
