Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
38,4.073000,262144.000000,67159.788899,51130.000000
38,4.639000,32768.000000,79967.788696,39315.000000
38,5.649000,4096.000000,71625.905258,34611.000000
38,7.918000,512.000000,54334.102836,13674.000000
38,16.772000,64.000000,39409.344793,5528.000000
38,30.000000,6.000000,34460.433776,3557.000000
38,30.000000,9.000000,40129.690118,4199.000000
38,30.000000,12.000000,55712.565333,7314.000000
38,30.000000,15.000000,44254.482835,5556.000000
38,30.000000,18.000000,50338.978297,8596.000000
