Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,86558.716505,40905.000000
32,4.639000,32768.000000,246055.085489,218247.000000
32,5.649000,4096.000000,477868.463356,227843.000000
32,7.918000,512.000000,174900.172827,49903.000000
32,16.772000,64.000000,328460.100688,44181.000000
32,30.000000,6.000000,425067.903405,36661.000000
32,30.000000,9.000000,223124.315701,22688.000000
32,30.000000,12.000000,153326.903592,15760.000000
32,30.000000,15.000000,513573.939405,89824.000000
32,30.000000,18.000000,407280.744919,51580.000000
