Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
36,4.073000,262144.000000,114662.044670,58739.000000
36,4.639000,32768.000000,211758.072333,140991.000000
36,5.649000,4096.000000,61025.207120,27904.000000
36,7.918000,512.000000,54028.342627,11865.000000
36,16.772000,64.000000,46164.329195,6528.000000
36,30.000000,6.000000,57133.558912,6290.000000
36,30.000000,9.000000,50691.685650,5196.000000
36,30.000000,12.000000,52748.737179,5366.000000
36,30.000000,15.000000,54468.704941,5779.000000
36,30.000000,18.000000,71682.926663,9459.000000
