Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,96736.472501,78856.000000
32,4.639000,32768.000000,162157.187223,138761.000000
32,5.649000,4096.000000,206527.978925,98357.000000
32,7.918000,512.000000,207246.300966,47616.000000
32,16.772000,64.000000,254965.349922,33710.000000
32,30.000000,6.000000,271711.953806,25209.000000
32,30.000000,9.000000,361446.734579,47660.000000
32,30.000000,12.000000,515200.967225,57180.000000
32,30.000000,15.000000,434298.189601,56960.000000
32,30.000000,18.000000,264792.795425,25414.000000
