Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
32,4.073000,262144.000000,220840.563000,190859.000000
32,4.639000,32768.000000,149793.884662,92549.000000
32,5.649000,4096.000000,521118.782999,177454.000000
32,7.918000,512.000000,140796.394201,36286.000000
32,16.772000,64.000000,158959.449735,22641.000000
32,30.000000,6.000000,708075.767576,66070.000000
32,30.000000,9.000000,350600.919791,41383.000000
32,30.000000,12.000000,557293.713511,64473.000000
32,30.000000,15.000000,163134.931348,21766.000000
32,30.000000,18.000000,324235.228196,37420.000000
