Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
34,4.073000,262144.000000,44018.002953,20388.000000
34,4.639000,32768.000000,194497.403008,127010.000000
34,5.649000,4096.000000,90715.300474,34792.000000
34,7.918000,512.000000,128251.555823,33995.000000
34,16.772000,64.000000,82394.289814,10305.000000
34,30.000000,6.000000,94765.757655,8410.000000
34,30.000000,9.000000,138206.463094,22917.000000
34,30.000000,12.000000,86381.536048,8887.000000
34,30.000000,15.000000,121607.428190,18791.000000
34,30.000000,18.000000,89105.123781,10961.000000
