Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
24,4.073000,262144.000000,909843.690337,293962.000000
24,4.639000,32768.000000,434157.027148,262345.000000
24,5.649000,4096.000000,1600669.215500,294074.000000
24,7.918000,512.000000,4531554.830560,299239.000000
24,16.772000,64.000000,11905675.381610,303335.000000
24,30.000000,6.000000,12473430.401831,303119.000000
24,30.000000,9.000000,12428530.175734,304519.000000
24,30.000000,12.000000,11670714.597712,304109.000000
24,30.000000,15.000000,11506057.069321,306189.000000
24,30.000000,18.000000,10782706.668388,307308.000000
