Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
28,4.073000,262144.000000,826187.566614,387942.000000
28,4.639000,32768.000000,359152.010890,189306.000000
28,5.649000,4096.000000,1016688.577138,313537.000000
28,7.918000,512.000000,2627907.470842,302015.000000
28,16.772000,64.000000,7294935.664762,303390.000000
28,30.000000,6.000000,9589764.597169,303120.000000
28,30.000000,9.000000,8453879.959012,303167.000000
28,30.000000,12.000000,8158543.134370,301561.000000
28,30.000000,15.000000,7542748.784406,304640.000000
28,30.000000,18.000000,8120041.167137,301952.000000
