Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
40,4.073000,262144.000000,163866.433991,138868.000000
40,4.639000,32768.000000,55139.808678,25755.000000
40,5.649000,4096.000000,79920.553633,30537.000000
40,7.918000,512.000000,31677.702047,8671.000000
40,16.772000,64.000000,27595.226145,2563.000000
40,30.000000,6.000000,33559.378644,4077.000000
40,30.000000,9.000000,28886.198279,2689.000000
40,30.000000,12.000000,30193.553054,3875.000000
40,30.000000,15.000000,29091.222989,6212.000000
40,30.000000,18.000000,36050.752711,4117.000000
