Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
36,4.073000,262144.000000,185357.957051,117145.000000
36,4.639000,32768.000000,136131.961324,70960.000000
36,5.649000,4096.000000,107374.715958,43142.000000
36,7.918000,512.000000,75177.680770,17912.000000
36,16.772000,64.000000,56278.892402,5801.000000
36,30.000000,6.000000,81419.747470,10565.000000
36,30.000000,9.000000,61973.738293,8567.000000
36,30.000000,12.000000,61006.802326,6827.000000
36,30.000000,15.000000,64637.627710,5671.000000
36,30.000000,18.000000,76543.171616,11487.000000
