Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
30,4.073000,262144.000000,65576.290250,47325.000000
30,4.639000,32768.000000,453480.301305,313555.000000
30,5.649000,4096.000000,1066575.854158,320129.000000
30,7.918000,512.000000,1275766.119007,303825.000000
30,16.772000,64.000000,5132336.813010,302985.000000
30,30.000000,6.000000,5080874.189173,253597.000000
30,30.000000,9.000000,4006069.961482,251762.000000
30,30.000000,12.000000,5930711.489079,298194.000000
30,30.000000,15.000000,4662166.209271,305622.000000
30,30.000000,18.000000,5602746.166950,294023.000000
