Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
22,4.073000,262144.000000,651572.409582,209238.000000
22,4.639000,32768.000000,1169969.523351,309698.000000
22,5.649000,4096.000000,3243056.995158,324550.000000
22,7.918000,512.000000,5533211.239650,302368.000000
22,16.772000,64.000000,12347595.541008,303950.000000
22,30.000000,6.000000,13817259.671192,304474.000000
22,30.000000,9.000000,13242267.098297,304090.000000
22,30.000000,12.000000,12732925.666073,300538.000000
22,30.000000,15.000000,12491768.515611,308208.000000
22,30.000000,18.000000,12151279.296749,309522.000000
