Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
22,4.073000,262144.000000,1243642.036443,384741.000000
22,4.639000,32768.000000,1504719.371963,312460.000000
22,5.649000,4096.000000,2712997.002114,300899.000000
22,7.918000,512.000000,5318749.044267,294074.000000
22,16.772000,64.000000,12649795.911798,304619.000000
22,30.000000,6.000000,13502521.394075,303782.000000
22,30.000000,9.000000,13118914.266400,303554.000000
22,30.000000,12.000000,12878246.818504,303566.000000
22,30.000000,15.000000,12257565.645483,305865.000000
22,30.000000,18.000000,12210775.998685,309736.000000
