Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
36,4.073000,262144.000000,65629.524796,36652.000000
36,4.639000,32768.000000,202480.346372,108216.000000
36,5.649000,4096.000000,93088.756507,47392.000000
36,7.918000,512.000000,76354.903438,22049.000000
36,16.772000,64.000000,50661.837353,9478.000000
36,30.000000,6.000000,55892.565821,6691.000000
36,30.000000,9.000000,57797.496330,6546.000000
36,30.000000,12.000000,67313.451145,6338.000000
36,30.000000,15.000000,72830.511470,10465.000000
36,30.000000,18.000000,65125.434617,7144.000000
