Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
38,4.073000,262144.000000,70591.533763,44864.000000
38,4.639000,32768.000000,131279.116565,97903.000000
38,5.649000,4096.000000,91888.458971,48110.000000
38,7.918000,512.000000,36679.923419,7145.000000
38,16.772000,64.000000,35559.251497,4392.000000
38,30.000000,6.000000,35130.978623,3280.000000
38,30.000000,9.000000,34918.155765,4200.000000
38,30.000000,12.000000,39277.631446,4894.000000
38,30.000000,15.000000,44153.732538,7840.000000
38,30.000000,18.000000,38717.744459,3900.000000
