Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
20,4.073000,262144.000000,1134726.599766,256910.000000
20,4.639000,32768.000000,2443859.517033,316693.000000
20,5.649000,4096.000000,3860354.562989,322783.000000
20,7.918000,512.000000,6013780.685854,295130.000000
20,16.772000,64.000000,13534068.512411,303563.000000
20,30.000000,6.000000,14569189.158915,304375.000000
20,30.000000,9.000000,13968810.714783,304201.000000
20,30.000000,12.000000,13379154.472698,302955.000000
20,30.000000,15.000000,13425119.672053,306610.000000
20,30.000000,18.000000,13139119.199781,311322.000000
