Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
26,4.073000,262144.000000,270650.583609,222748.000000
26,4.639000,32768.000000,287105.820960,165200.000000
26,5.649000,4096.000000,1810148.194956,300378.000000
26,7.918000,512.000000,3424293.158014,301234.000000
26,16.772000,64.000000,9831045.294774,301575.000000
26,30.000000,6.000000,11557558.131792,303116.000000
26,30.000000,9.000000,11126546.675368,301664.000000
26,30.000000,12.000000,10205960.120300,305449.000000
26,30.000000,15.000000,9683136.280882,302676.000000
26,30.000000,18.000000,10128561.627671,309596.000000
