Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
20,4.073000,262144.000000,1360969.900966,270090.000000
20,4.639000,32768.000000,1935184.494635,309014.000000
20,5.649000,4096.000000,3104257.329814,298597.000000
20,7.918000,512.000000,6844339.732803,296052.000000
20,16.772000,64.000000,13692136.637573,302074.000000
20,30.000000,6.000000,14502170.397875,303209.000000
20,30.000000,9.000000,13708894.622197,301941.000000
20,30.000000,12.000000,13305882.018372,302737.000000
20,30.000000,15.000000,13415362.937450,306561.000000
20,30.000000,18.000000,12764521.891751,307082.000000
