Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
24,4.073000,262144.000000,134581.683910,55708.000000
24,4.639000,32768.000000,1103871.775395,264639.000000
24,5.649000,4096.000000,2060299.855259,309694.000000
24,7.918000,512.000000,4400781.418967,297014.000000
24,16.772000,64.000000,11824499.179612,306241.000000
24,30.000000,6.000000,12960650.733065,305178.000000
24,30.000000,9.000000,12498497.830927,303752.000000
24,30.000000,12.000000,11778315.554836,307479.000000
24,30.000000,15.000000,11294448.709144,304475.000000
24,30.000000,18.000000,11136077.515498,307949.000000
