Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
28,4.073000,262144.000000,254796.293077,192310.000000
28,4.639000,32768.000000,448132.404622,268166.000000
28,5.649000,4096.000000,796409.501949,280861.000000
28,7.918000,512.000000,2243073.490142,294002.000000
28,16.772000,64.000000,7125778.310424,303804.000000
28,30.000000,6.000000,9809587.121397,301878.000000
28,30.000000,9.000000,9053729.277122,303280.000000
28,30.000000,12.000000,8755329.591305,303467.000000
28,30.000000,15.000000,8194613.617046,302369.000000
28,30.000000,18.000000,8098427.603669,306028.000000
