Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
22,4.073000,262144.000000,804010.624898,237475.000000
22,4.639000,32768.000000,1747364.907372,317105.000000
22,5.649000,4096.000000,2542208.871212,291195.000000
22,7.918000,512.000000,4966771.410866,294207.000000
22,16.772000,64.000000,12527505.442642,301176.000000
22,30.000000,6.000000,13814599.006092,305214.000000
22,30.000000,9.000000,13161742.240111,304470.000000
22,30.000000,12.000000,12682630.735391,303969.000000
22,30.000000,15.000000,12010036.884396,303100.000000
22,30.000000,18.000000,12102080.154147,309983.000000
