Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time,SETF_maximum_flow_time
24,4.073000,262144.000000,579848.538684,253814.000000
24,4.639000,32768.000000,1190291.333334,341940.000000
24,5.649000,4096.000000,1984811.139606,307130.000000
24,7.918000,512.000000,4520187.501309,306511.000000
24,16.772000,64.000000,11393348.998635,303110.000000
24,30.000000,6.000000,12733744.968855,303895.000000
24,30.000000,9.000000,12216227.253797,304477.000000
24,30.000000,12.000000,11604194.866893,303780.000000
24,30.000000,15.000000,11577715.169567,304435.000000
24,30.000000,18.000000,11017737.073458,306531.000000
