arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time
24,500.000000,200,59161959.689565
24,2000.000000,800,242675454.966330
24,100.000000,50,9871559.550893
24,8.500000,262144,29648429.227614
24,9.800000,32768,40102668.183424
24,12.400000,4096,63047489.391252
24,18.900000,512,106631220.275237
24,60.000000,24,163562142.498302
24,60.000000,18,172471534.136052
24,60.000000,12,178931723.572635
24,56.300000,64,192957663.892183
