frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,274930.38382652437,64746
4,19988212.638364643,1043188
8,21868349.151667234,1150668
16,22199542.43338734,1039521
32,1388717.714371787,187808
64,37745409.571208455,1550298
128,22215301.102094814,1163341
256,40580156.66257729,1772291
512,37117358.16177984,1682934
1024,38786578.84489048,1707746
2048,37299543.930213876,1611277
4096,32747687.399225645,1470340
8192,27795881.146864943,1192496
16384,42240651.21624102,1688717
32768,62187642.09870274,1591049
65536,55001290.84750894,1731113
