frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,2447532.680872515,195907
4,22226654.94695891,1132928
8,21015765.238242954,1020356
16,39342437.93934995,1633948
32,498394.43263042177,291983
64,22650481.11593767,1094081
128,20885429.968313556,1277839
256,23988737.443637002,1074758
512,42956445.73903201,1782480
1024,20918737.640094467,1187071
2048,19781986.00693439,1165854
4096,19640556.20054814,1199595
8192,1041659.3408974932,381908
16384,2133697.49658404,408626
32768,1669898.2700125778,181106
65536,12302052.205165079,1041224
