frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,21247969.185701724,1101400
4,38648770.70936232,1604568
8,437169.4146666713,244032
16,38917032.05512192,1736610
32,21207363.55092983,1108317
64,39388115.35146957,1794118
128,686317.2240363781,414006
256,21677587.805403374,1032908
512,25636201.685012292,1094056
1024,42481764.12997036,1642688
2048,1004162.5279156757,601872
4096,1147184.1861710786,469120
8192,51204728.24348141,1671350
16384,16334891.296729496,981070
32768,633744.0367285518,174730
65536,17315229.128201652,1130645
