frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,39414982.299360506,1737697
4,39041091.63184091,1727826
8,37429765.922102,1519456
16,479812.3621156504,201288
32,983448.8576331766,494325
64,21156214.95547129,1086367
128,424866.5913189692,217590
256,38186982.698690325,1727596
512,39019753.723472305,1568572
1024,41306765.760519974,1616876
2048,29076895.75466946,1168878
4096,20921698.236506496,1109549
8192,35849194.49002578,1638958
16384,42654368.696730584,1580295
32768,33943809.31985341,1563359
65536,58441756.41559542,1744186
