frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,349560.5733731995,191094
4,21543371.34792029,1069222
8,20968405.325955693,1144912
16,403832.491886178,154185
32,22581491.41512387,1004203
64,800951.1763790599,251652
128,21830912.837695107,1085904
256,38325837.12502862,1620861
512,669255.1747681896,296586
1024,22045475.216083616,1178144
2048,19955883.686689347,1090669
4096,1395242.0222448863,433437
8192,21511356.29241397,1029361
16384,33460394.96444547,1061241
32768,3767308.290303436,505830
65536,10194403.514096202,1125688
