frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,21373027.633402504,1048952
4,312059.67789831484,107230
8,658164.156631915,356812
16,22174522.394106712,1103573
32,38541430.318145186,1600628
64,22091703.108872887,1072388
128,22029597.804438397,1040071
256,39143405.131547116,1573579
512,40195005.935781896,1699120
1024,38637402.65039813,1735751
2048,37963955.47030491,1653162
4096,529138.3852207285,303633
8192,714363.6531557299,336673
16384,240468.52645824567,94982
32768,778525.6481182878,198725
65536,18702330.47263632,981677
