frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,37297858.32155478,1639704
4,256661.93869757938,135015
8,341701.56947254424,84891
16,39311245.654939085,1739804
32,37930977.504490495,1841564
64,193538.99259322396,38918
128,22392640.67168763,1105251
256,21682535.749771565,1043599
512,21027498.51913104,1208931
1024,37718830.08355671,1588705
2048,24787721.406733293,1081544
4096,38903927.4767885,1573648
8192,349693.2372022656,109066
16384,31636937.09121052,1140932
32768,38093521.87937717,1485006
65536,13415838.057527753,1116818
