frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,21881998.093596205,1089539
4,38017040.719684824,1649055
8,38982154.72025407,1701076
16,918094.3079961884,605086
32,21262033.8145814,1085510
64,23219649.958929077,1156411
128,38656968.770629905,1701110
256,2496166.7906946843,516294
512,21984772.69801082,1119043
1024,38807647.913217686,1563729
2048,2853167.0320762857,444900
4096,1242884.9152966659,329555
8192,24646315.90791435,1091396
16384,35145107.767080344,1648717
32768,17780184.830570124,1156660
65536,50978883.61261775,1486282
