frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,38023966.962435864,1804504
4,3843757.441057123,603786
8,38216416.83992588,1600246
16,38944455.469733715,1629251
32,1169328.407822627,579329
64,592356.9849913141,469594
128,37679925.175577514,1729630
256,38374969.304908834,1733258
512,41561812.97535735,1663737
1024,39289881.66645271,1457203
2048,24044515.882835113,1020638
4096,32452875.118633173,1633777
8192,1060639.9503573303,361424
16384,1971755.46268319,490425
32768,3431865.250342006,431990
65536,591423.706346812,366609
