frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,1515139.579833,683368.000000
4,266429838.450343,3514156.000000
8,1496454.178024,690475.000000
16,262285224.253218,3466691.000000
32,131853935.847477,2257161.000000
64,272839201.939508,3400108.000000
128,144202319.565740,2259881.000000
256,3283569.847037,1155457.000000
512,2869395.237030,1009846.000000
1024,126063468.825549,2314332.000000
2048,131735098.091386,2295287.000000
4096,6060253.977070,898238.000000
8192,309142914.250813,3488909.000000
16384,84408646.193492,2294859.000000
32768,15141741.156269,939883.000000
65536,466119376.401456,3468263.000000
