frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,793582.272532,310828.000000
4,487248.625200,196589.000000
8,33174022.080708,844541.000000
16,16930451.623438,586915.000000
32,16492537.436039,603239.000000
64,33272765.500682,824956.000000
128,357777.428057,93799.000000
256,15580228.330784,595278.000000
512,35822236.202249,867397.000000
1024,19601880.535348,544806.000000
2048,16257939.257327,520716.000000
4096,32637837.183099,829145.000000
8192,1535765.013302,207922.000000
16384,1272737.704926,197167.000000
32768,24754129.971632,470975.000000
65536,20377013.585036,914463.000000
