frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,129961833.166714,2336436.000000
4,1817891.235753,860296.000000
8,267633367.300754,3317144.000000
16,265700836.910836,3376592.000000
32,1702931.420079,980044.000000
64,3350249.397670,943972.000000
128,3548813.359741,778501.000000
256,1633991.004309,541949.000000
512,252335315.429394,3425927.000000
1024,155396683.977607,2357591.000000
2048,3872180.567353,925895.000000
4096,124448574.856770,2301518.000000
8192,214128170.790958,3560508.000000
16384,204036009.702268,3684991.000000
32768,6681947.504551,738337.000000
65536,112834939.065281,2243903.000000
