frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,15274736.282676,538851.000000
4,15906209.418790,542030.000000
8,15683969.433017,573751.000000
16,34346427.277397,865746.000000
32,16413813.624600,543566.000000
64,18151803.775355,543619.000000
128,651164.372003,299792.000000
256,17631567.391629,547400.000000
512,36175904.227334,885120.000000
1024,353592.487950,131101.000000
2048,15980903.229286,536272.000000
4096,41360618.536000,751397.000000
8192,1279272.282622,250114.000000
16384,20016058.966272,824502.000000
32768,14739449.216496,507492.000000
65536,1068127.707858,262434.000000
