coherence_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
2,94680040.95034799,92642821.11328891,90809122.6854393,87794879.27543549,82926300.98300299,57369671.17246209
4,117435490.28994031,114041797.0745087,110294579.13558161,105519599.1831277,98724847.0631941,65822714.929264605
8,131193247.25905791,128197401.9416239,124632696.54543969,120038421.11949289,115033240.14818521,75317448.2286718
16,143654944.4553231,139443372.0339302,136416455.9282833,130478224.74032469,123826083.766272,80371197.9307325
32,127594680.93941231,125377883.00255649,122234580.54904959,117477293.26532719,113431109.79211049,77145416.06247899
64,106081919.36916241,104951847.1588303,102103920.8226324,99209866.6752741,97145818.0165408,63435498.2118307
128,106413827.3264099,103954071.06116411,102140221.9198262,98937307.9868584,95326877.0824094,75730385.14020959
256,72967005.9538873,71785717.6991521,69853064.6492607,69453149.7538045,66972912.1668236,49212476.1766111
512,102324974.4680979,99218324.6689601,96334453.67532429,94838377.7938547,92931357.1978586,65560463.9503503
1024,73876155.435523,72939663.2014991,72094700.0932236,70252849.9017977,67906199.8759763,46984070.716070995
2048,112065977.61090131,108426774.984224,106369678.8297093,103323882.165886,99440401.69810821,72307310.45195581
4096,36910721.9460129,36400629.981082305,36156684.2621222,35624172.7836872,33935308.0141603,35395823.5620763
8192,199909132.8299948,197342007.5224198,194975579.37218422,190485661.8990727,186135005.4925513,172191228.75841388
16384,128208621.91384709,123839939.86704591,121945248.1457463,120056606.07554121,115660533.6468786,87238176.5580953
32768,90489262.3690851,86414956.13685241,86829451.8067282,85512327.7451635,83649154.9558337,65797101.050265096
65536,131368057.17382112,128870728.3660881,128093187.336235,126675579.72582741,126237882.3344169,121309293.6814441
