mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,236806107.62613553,226536252.3305935,223904324.91986108,223599738.3670279,223601075.04563457,223599252.01518852
22.0,230123118.57522106,218444292.5044741,215517364.26944962,215359357.78815484,215359602.30123386,215358904.8897373
24.0,221872492.51163214,210035693.90637016,207222932.74596164,207221550.69592428,207223145.94003022,207222297.03836557
26.0,214940138.08307862,202539327.4217958,199647469.1973952,199593515.58660382,199594188.6164711,199591882.91458046
28.0,205803369.39018053,195096634.84935617,192154793.43903232,192047444.50322562,192052011.52833068,192049920.894696
30.0,197735134.9495527,187646737.96166396,184094800.8426591,184034238.58830363,184037250.98052168,184035094.86757702
32.0,192139315.95750242,180490051.7862404,177162399.9879286,176886694.01624456,176887864.3068856,176883354.64972794
34.0,183873670.36637414,172921253.91644713,170151419.5062338,169823424.9415627,169826440.73716992,169823598.82298473
36.0,177583942.69283867,166394173.53724664,163071904.01431057,162826965.46487117,162828454.576155,162825481.34283823
38.0,170574853.0635519,159205821.5601376,155884589.56002536,155833258.08065656,155836452.16772223,155832301.3905224
40.0,163869681.15511733,152427649.2042708,149312439.3896004,149128517.33298978,149129496.83312875,149127374.33283743
